rogue	pícaro
harmonious	armonioso
humid	húmedo
brutalize	embrutecer
overweight	sobrepeso
nepotism	nepotismo
sunken	hundido
unresolved	irresoluto
petrify	petrificar
fruitlessly	infructuosamente
tedious	tedioso
darken	oscuro
virtuous	virtuoso
stringent	riguroso
unspeakable	indecible
disasterous	desastroso
wow	sorprender
happily	felizmente
imaginative	imaginativo
insinuating	insinuante
misleading	engañoso
horrendous	horrendo
recession	recesión
messes	líos
impassioned	apasionado
sincerity	sinceridad
untrue	falso
controversy	controversia
knock	llamar
imbecile	imbécil
suave	afable
mightily	poderosamente
taunt	pulla
partiality	parcialidad
refuted	refutado
piety	piedad
massacre	matanza
weaken	débil
patronize	patrocinar
menial	servil
bashful	tímido
awesome	impresionante
deride	ridiculizar
susceptible	probablemente
jeeringly	burlonamente
entice	atraer
despondently	desaliento
suffices	suficiente
enchant	encantar
hysterical	histérico
dissatisfaction	insatisfacción
foulness	asquerosidad
disagreeing	desacuerdo
gloomy	triste
puppets	marionetas
fissures	fisuras
ineptitude	ineptitud
unbeatable	insuperable
condemns	condena
prefers	prefiere
inhibit	inhibir
discourage	desalentar
aggressive	agresivo
niggle	queja
ideally	idealmente
chronic	crónico
ruin	ruina
despoil	despojar
irony	ironía
admonish	amonestar
treacherous	traicionero
tamper	antisabotaje
sickness	enfermedad
absentee	ausente
conspiracies	conspiraciones
handicapped	discapacitados
refunded	reintegrado
inarticulate	inarticulado
disloyal	desleal
cheat	engañar
niggles	peros
damn	maldito
really	realmente
shamelessly	desvergonzadamente
sweeten	dulce
mysterious	misterioso
disagreement	desacuerdo
exult	exultar
enterprising	emprendedor
bothers	molesta
fortune	fortuna
incommensurate	inconmensurable
luckier	suerte
rewardingly	recompensadoramente
intelligent	inteligente
easygoing	acomodadizo
better	mejor
abrupt	abrupto
outrageously	atrozmente
coherence	coherencia
dungeons	mazmorras
adulatory	adulador
undermines	socava
mistaken	equivocado
excuses	excusas
stylishly	elegantemente
vexing	irritante
extremely	extremadamente
drunken	borracho
illuminate	iluminar
apathetic	apático
conflict	conflicto
enthuse	entusiasmar
sarcastically	sarcásticamente
steadfastly	firmemente
pampers	mima
skillful	hábil
competitive	competitivo
jolt	sacudida
hysteria	histeria
beg	mendigar
worse	peor
enough	suficiente
drowning	ahogo
unusably	inutilizable
undermine	minar
egomania	egomanía
heartbreaking	angustioso
inability	incapacidad
recommendation	recomendación
daunting	desalentadora
recovery	recuperación
cramp	calambre
wretch	desgraciado
subservient	subordinado
repudiate	repudiar
bad	malo
misbegotten	bastardo
fascinatingly	fascinantemente
self-serving	auto-servicio
classic	clásico
benefits	beneficios
irk	fastidiar
quibble	sutileza
savage	salvaje
straightforward	sencillo
gibber	farfullar
miss	señorita
aggressiveness	agresividad
simplifies	simplifica
incivility	incivilidad
complain	quejarse
admiringly	admirativamente
profoundly	profundamente
overbearing	imperioso
longingly	añoranza
impudently	impudentemente
abysmally	abismalmente
prodigiously	prodigiosamente
destroyer	destructor
apprehensive	aprensivo
rough	áspero
neurotically	neuróticamente
nonexistent	inexistente
engrossing	absorbente
gloom	penumbra
sloppily	descuidadamente
ingenious	ingenioso
subjugate	subyugar
fragrant	fragante
sad	triste
bitterness	amargura
loopholes	lagunas
disingenuous	falso
inconsiderate	desconsiderado
nemesis	justicia
imaculate	impecable
wows	sorpresas
devout	devoto
flawed	defectuoso
debility	debilidad
lonesome	solitario
easing	aliviando
pamperedly	mimado
lying	acostado
self-sufficiency	autosuficiencia
fevers	fiebres
importunate	importuno
trivialize	trivializar
scowl	ceño
licentiousness	libertinaje
goodly	hermoso
chafe	rozar
overblown	marchito
amazing	asombroso
rebuff	rechazo
positives	positivos
heartwarming	reconfortante
snappy	rápido
restlessness	inquietud
shrilly	estridente
panoramic	panorámico
thrilling	electrizante
ghastly	horrible
gimmicks	trucos
dissolution	disolución
could	podía
thirst	sed
stew	estofado
gleeful	jubiloso
profound	profundo
stupendously	estupendamente
intuitive	intuitivo
earnestly	formalmente
blameless	irreprochable
puzzled	perplejo
distrusting	desconfiando
valiant	valiente
faze	perturbar
startling	asombroso
admiration	admiración
stylish	elegante
adulterated	adulterada
imbalance	desequilibrio
shatter	destrozar
quaint	pintoresco
crash	choque
erroneously	erróneamente
shun	rehuir
flickers	parpadeos
silent	silencioso
outraged	indignados
pique	piqué
imperfect	imperfecto
unnerving	enervante
knife	cuchillo
ambitious	ambicioso
obliterated	obliterado
shimmering	reluciente
uphold	defender
troublesome	molesto
ferociously	ferozmente
refinement	refinamiento
incoherently	incoherentemente
wariness	cautela
dismayingly	desalentadoramente
fascination	fascinación
disgruntled	descontento
infuriated	enfurecido
hegemony	hegemonía
din	estruendo
irresponsibly	irresponsable
destruction	destrucción
infraction	infracción
negative	negativo
outbreak	brote
humiliating	humillante
wretchedness	miseria
pretentiously	pretenciosamente
insincerity	insinceridad
rational	racional
reconcile	reconciliar
limitations	limitaciones
anemic	anémico
dusty	polvoriento
nebulous	nebuloso
isolation	aislamiento
mortified	mortificado
damaging	perjudicial
outbursts	arrebatos
inflated	inflado
poise	porte
outperforms	supera
calumniously	calumniosa
oversimplification	sobresimplificación
sack	saco
assassin	asesino
disappointingly	decepcionantemente
fundamentalism	fundamentalismo
distraction	distracción
decadent	decadente
amazingly	asombrosamente
puzzling	misterioso
immobilized	inmovilizado
viper	víbora
peril	peligro
enhance	mejorar
noise	ruido
brisk	enérgico
unobserved	desapercibido
affordable	asequible
pessimism	pesimismo
brutally	brutalmente
repetitive	repetitivo
oblique	oblicuo
restored	restaurada
commotions	conmociones
pleasurably	agradablemente
torturing	tortura
harmony	armonía
enough	suficiente
abundant	abundar
procrastinates	posterga
rejoice	alegrarse
privileged	privilegiado
impolitic	impolítico
unforeseen	contingencias
fruitless	infructuoso
pugnacity	pugnacidad
refresh	refrescar
heartbreaker	rompecorazones
counter-attacks	contraataques
intriguing	secreto
glut	superabundancia
hard-working	trabajador
discourteous	descortés
charming	encantador
conceit	presunción
perilous	peligroso
inaccuracies	inexactitudes
didn't	no
mischievously	maliciosamente
acclaim	aclamación
cuss	maldecir
won't	no
fist	puño
renounce	renunciar
hazard	peligro
dishearteningly	descorazonadoramente
frustrations	frustraciones
relentlessly	implacablemente
zealot	fanático
fulminate	fulminar
conciliatory	conciliador
sickeningly	repugnantemente
pleasurable	placentero
dazzled	deslumbrado
betrayals	traiciones
unsteady	inestable
dangerous	peligroso
effrontery	descaro
exciting	emocionante
tentative	tentativo
disapointed	decepcionado
lividly	lívidamente
annoyance	molestia
insatiable	insaciable
worry	preocuparse
infamous	infame
bust	busto
impure	impuro
foresight	previsión
distrust	desconfianza
thank	agradecer
loss	pérdida
uproarious	estruendoso
wiles	engaños
wrongly	erróneamente
outperforming	superando
remarkable	notable
hinder	dificultar
scorching	abrasador
flashy	ostentoso
languid	lánguido
lag	retraso
disappoint	decepcionar
grim	severo
beautify	embellecer
decrement	decremento
extravagance	extravagancia
spookier	fantasmagóricos
rumbling	retumbante
enrich	enriquecer
motley	abigarrado
vague	vago
harrow	grada
livid	lívido
comical	cómico
joyfully	alegremente
temptation	tentación
bastard	bastardo
inattentive	inatento
lacked	carecido
sly	astuto
sidetrack	apartadero
sensible	sensato
glorious	glorioso
patiently	pacientemente
scare	susto
endorsement	endoso
rejuvenate	rejuvenecer
flee	huir
lumpy	grumoso
encroach	usurpar
passionate	apasionado
stern	popa
spontaneous	natural
fortunate	afortunado
provocation	excitación
obsolete	obsoleto
evocative	evocador
achievements	logros
outmoded	anticuado
barbarian	bárbaro
vainly	vanamente
enhanced	mejorado
improper	impropio
harangue	arenga
restful	sosegado
fool	engañar
preposterous	absurdo
nurturing	crianza
merriness	alegría
undaunted	impávido
decisiveness	decisión
resentful	resentido
cushy	cómodo
assuredly	ciertamente
scathingly	mordazmente
urgent	urgente
laughingstock	hazmerreír
nourishing	nutritiva
exonerate	exonerar
pervasive	penetrante
smug	presumido
agreeable	agradable
glitter	purpurina
mercy	misericordia
succes	éxito
pleasure	placer
declining	declinante
secure	asegurar
tease	embromar
capitulate	capitular
carnage	carnicería
crumples	arruga
punitive	punitivo
ambivalent	ambivalente
tricky	difícil
distort	distorsionar
woo	cortejar
prate	prateek
excessively	excesivamente
demeaning	degradante
miseries	miserias
poignant	conmovedor
fanaticism	fanatismo
contradict	contador
egotistically	egoístamente
misfit	inadaptado
youthful	juvenil
agilely	ágilmente
protect	proteger
pampered	mimado
insolence	insolencia
inconvenience	inconveniencia
generous	generoso
gaffe	patinazo
tentatively	tentativamente
massacres	masacres
haughty	altivo
compulsion	compulsión
slaughtered	sacrificados
clog	zueco
savvy	comprensión
beutifully	hermosamente
underestimate	subestimar
sagged	combado
alarm	alarma
disrupt	interrumpir
wildly	salvajemente
wretchedly	miserablemente
antipathy	antipatía
meltdown	crisis
critical	crítico
dashing	gallardo
disturbance	perturbación
best	mejor
indoctrinate	adoctrinar
